Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
293,Buizel,0.00000%,53,0.001%,37,0.002%
294,Surskit,0.00000%,104,0.003%,45,0.003%
295,Finneon,0.00000%,127,0.003%,81,0.005%
296,Spewpa,0.00000%,84,0.002%,37,0.002%
297,Gible,0.00000%,4,0.000%,2,0.000%
298,Marill,0.00000%,113,0.003%,50,0.003%
299,Gabite,0.00000%,72,0.002%,20,0.001%
300,Tadbulb,0.00000%,11,0.000%,8,0.000%
301,Growlithe,0.00000%,18,0.000%,6,0.000%
302,Greavard,0.00000%,65,0.002%,17,0.001%
303,Gothita,0.00000%,16,0.000%,3,0.000%
304,Meowth,0.00000%,24,0.001%,9,0.001%
305,Cubchoo,0.00000%,114,0.003%,48,0.003%
306,Flabebe,0.00000%,23,0.001%,18,0.001%
307,Cetoddle,0.00000%,61,0.002%,25,0.001%
308,Makuhita,0.00000%,9,0.000%,4,0.000%
309,Larvesta,0.00000%,215,0.006%,41,0.002%
310,Corvisquire,0.00000%,11,0.000%,8,0.000%
311,Pupitar,0.00000%,28,0.001%,7,0.000%
312,Maschiff,0.00000%,18,0.000%,4,0.000%
313,Shelgon,0.00000%,62,0.002%,20,0.001%
314,Bonsly,0.00000%,117,0.003%,28,0.002%
315,Fuecoco,0.00000%,137,0.004%,64,0.004%
316,Igglybuff,0.00000%,631,0.017%,161,0.009%
317,Drakloak,0.00000%,56,0.001%,12,0.001%
318,Shellder,0.00000%,76,0.002%,32,0.002%
319,Shroomish,0.00000%,114,0.003%,66,0.004%
320,Wooper-Paldea,0.00000%,94,0.003%,29,0.002%
321,Happiny,0.00000%,114,0.003%,68,0.004%
322,Bergmite,0.00000%,7,0.000%,5,0.000%
323,Wiglett,0.00000%,38,0.001%,13,0.001%
324,Fidough,0.00000%,4,0.000%,1,0.000%
325,Ralts,0.00000%,114,0.003%,22,0.001%
326,Pichu,0.00000%,137,0.004%,55,0.003%
327,Grimer,0.00000%,7,0.000%,3,0.000%
328,Gulpin,0.00000%,40,0.001%,9,0.001%
329,Capsakid,0.00000%,47,0.001%,19,0.001%
330,Zorua,0.00000%,52,0.001%,5,0.000%
331,Croagunk,0.00000%,16,0.000%,7,0.000%
332,Drifloon,0.00000%,338,0.009%,87,0.005%
333,Floette,0.00000%,53,0.001%,21,0.001%
334,Flittle,0.00000%,51,0.001%,32,0.002%
335,Dolliv,0.00000%,18,0.000%,5,0.000%
336,Cufant,0.00000%,11,0.000%,0,0.000%
337,Tynamo,0.00000%,15,0.000%,0,0.000%
338,Deino,0.00000%,3,0.000%,2,0.000%
339,Silicobra,0.00000%,2,0.000%,0,0.000%
340,Magnemite,0.00000%,26,0.001%,3,0.000%
341,Mankey,0.00000%,4,0.000%,4,0.000%
342,Slakoth,0.00000%,5,0.000%,0,0.000%
343,Skrelp,0.00000%,6,0.000%,3,0.000%
