id,name,elements,sigelements,yeardiscovery,hmin,hmax,hardtype,specificgravity,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,dana8ed1,dana8ed2,dana8ed3,dana8ed4
1,Abelsonite,-Ni-N-C-H-,-Ni-N-C-H-,1975,2.0,3.0,0,1.4,10,C,A,20,50,4,9,1
2,Abenakiite-(Ce),-Ce-Na-Si-O-P-C-S-,-Ce-Na-Si-O-P-C-S-,,4.0,5.0,0,3.21,9,C,K,10,61,4,1,1
3,Abernathyite,-As-O-K-H-U-,-As-O-K-H-U-,1956,2.5,3.0,0,,8,E,B,15,40,2a,9,1
4,Abhurite,-Cl-Sn-O-H-,-Cl-Sn-O-H-,1983,2.0,2.0,3,4.29,3,D,A,30,10,5,9,1
9,Abswurmbachite,-Cu-Mn-Si-O-,-Cu-Mn-Si-O-,1990,6.5,6.5,0,,9,A,G,05,7,5,1,4
10,Acanthite,-Ag-S-,-Ag-S-,1855,2.0,2.5,3,7.24 (calc)  7.2-7.4(meas),2,B,A,35,2,4,1,1
13,Acetamide,-N-O-C-H-,-N-O-C-H-,1974,1.0,1.5,0,1-1.17,10,A,A,20,50,4,7,1
14,Achávalite,-Fe-Se-,-Fe-Se-,1939,2.5,2.5,0,6.53,2,C,C,05,0,0,0,0
18,Actinolite,-Ca-Fe-Mg-Si-O-H-,-Ca-Fe-Mg-Si-O-H-,,5.0,6.0,3,3.03-3.24(meas.); 3.07(calc.),9,D,E,10,0,0,0,0
19,Acuminite,-Al-Sr-O-F-H-,-Al-Sr-O-F-H-,,3.5,3.5,0,3.29,3,C,C,10,11,6,17,1
21,Adamite,-As-Zn-O-H-,-As-Zn-O-H-,1866,3.5,3.5,3,4.45(calc) 4.32 - 4.48(meas),8,B,B,30,41,6,6,3
23,Adelite,-As-Ca-Mg-O-H-,-As-Ca-Mg-O-H-,1887,5.0,5.0,0,3.73,8,B,H,35,41,5,1,1
27,Admontite,-Mg-B-O-H-,-Mg-B-O-H-,1978,2.0,3.0,0,1.82,6,F,A,15,26,6,3,1
31,Aegirine,-Fe-Na-Si-O-,-Fe-Na-Si-O-,1821,6.0,6.0,0,3.5,9,D,A,25,65,1,3c,2
32,Aegirine-augite,-Al-Ca-Fe-Mg-Na-Si-O-,-Al-Ca-Fe-Mg-Na-Si-O-,1892,6.0,6.0,0,,9,D,A,20,65,1,3b,2
33,Aenigmatite,-Fe-Na-Si-Ti-O-,-Fe-Na-Si-Ti-O-,1865,5.5,6.0,0,3.8,9,D,H,40,69,2,1a,1
34,Aerinite,-Al-Ca-Fe-Mg-Na-Si-O-C-H-,-Al-Ca-Fe-Na-Si-O-C-H-,1876,3.0,3.0,0,2.48,9,D,B,45,68,1,3,1
36,Aerugite,-As-Ni-O-,-As-Ni-O-,1858,4.0,4.0,0,,8,B,C,15,41,3,11, 
37,Aeschynite-(Ce),-Ca-Ce-Fe-Nb-Th-Ti-O-H-,-Ce-Ti-O-,,5.0,6.0,0,4.96,4,D,F,05,8,3,6,1
38,Aeschynite-(Nd),-Ca-Nb-Nd-Ti-O-H-,-Nd-Ti-O-,,5.0,6.0,0,4.8,4,D,F,05,8,3,6,5
39,Aeschynite-(Y),-Ca-Nb-Th-Ti-O-H-Y-,-Ti-O-Y-,,5.0,6.0,0,4.95,4,D,F,05,8,3,6,3
41,Afghanite,-Al-Ca-Cl-Na-Si-O-K-S-,-Al-Ca-Cl-Na-Si-O-S-,1964,5.5,6.0,3,2.55,9,F,B,05,76,2,5,1
42,Afwillite,-Ca-Si-O-H-,-Ca-Si-O-H-,1925,3.0,4.0,0,2.630,9,A,G,75,52,4,7,1
43,Agardite-(Nd),-As-Cu-Nd-O-H-,-As-Cu-Nd-O-H-,,3.0,4.0,0,,8,D,L,15,0,0,0,0
44,Agardite-(Y),-As-Cu-O-H-Y-,-As-Cu-O-H-Y-,1968,3.0,4.0,0,3.66 (calc.),8,D,L,15,42,5,1,2
48,Agardite-(Ce),-As-Ce-Cu-O-H-,-As-Ce-Cu-O-H-,,3.0,4.0,3,,8,D,L,15,0,0,0,0
50,Agardite-(La),-As-Cu-La-O-H-,-As-Cu-La-O-H-,1980,3.0,4.0,0,,8,D,L,15,0,0,0,0
57,Agrellite,-Ca-Na-Si-O-F-,-Ca-Na-Si-O-F-,,5.5,5.5,0,2.902,9,D,H,75,70,1,1,4
58,Agrinierite,-Ca-Sr-O-K-H-U-,-Ca-O-K-H-U-,,0.0,0.0,0,5.7,4,G,B,05,5,5,1,1
59,Aguilarite,-Ag-Se-S-,-Ag-Se-S-,1891,2.5,2.5,0,7.586,2,B,A,55,2,4,1,3
60,Aheylite,-Al-Fe-Zn-O-P-H-,-Al-Fe-O-P-H-,1984,5.0,5.5,0,2.85,8,D,D,15,42,9,3,5
61,Ahlfeldite,-Ni-Se-O-H-,-Ni-Se-O-H-,1935,2.0,2.5,0,3.37,4,J,H,10,34,2,3,3
63,Aikinite,-Bi-Cu-Pb-S-,-Bi-Cu-Pb-S-,1843,2.0,2.5,0,7.19(calc.) 7.07(meas.),2,H,B,05a,3,4,5,1
66,Ajoite,-Al-Cu-Na-Si-O-K-H-,-Al-Cu-Si-O-K-H-,1958,0.0,0.0,0,2.96,9,E,A,70,78,5,1,1
67,Akaganeite,-Cl-Fe-Ni-O-H-,-Cl-Fe-O-H-,,0.0,0.0,0,3.0,4,D,K,05,6,1,6,1
68,Akatoreite,-Al-Mn-Si-O-H-,-Al-Mn-Si-O-H-,1969,6.0,6.0,0,3.48,9,B,H,15,57,2,3,1
69,Akdalaite,-Al-O-H-,-Al-O-H-,,7.0,7.5,0,3.68,4,F,L,70,4,3,2,1
70,Åkermanite,-Ca-Mg-Si-O-,-Ca-Mg-Si-O-,,5.0,6.0,0,2.944,9,B,B,10,55,4,1,1
71,Akhtenskite,-Mn-O-,-Mn-O-,,0.0,0.0,0,4.00,4,D,B,15b,4,4,10,1
72,Akrochordite,-As-Mg-Mn-O-H-,-As-Mn-O-H-,1915,3.5,3.5,0,3.2,8,D,D,10,42,4,1,1
73,Aksaite,-Mg-B-O-H-,-Mg-B-O-H-,1962,2.5,2.5,0,1.99,6,F,A,05,26,6,4,1
74,Aktashite,-As-Cu-Hg-S-,-As-Cu-Hg-S-,1968,3.5,3.5,0,,2,G,A,30,3,4,13,2
87,Aluminocopiapite,-Al-Fe-O-S-H-,-Al-Fe-O-S-H-,1947,2.0,3.0,0,2.07(calc),7,D,B,35,31,10,5,7
89,Alabandite,-Mn-S-,-Mn-S-,1832,3.5,4.0,0,4.05,2,C,D,10,2,8,1,4
91,Alacránite,-As-S-,-As-S-,1985,1.5,1.5,0,3.43,2,F,A,20,2,8,22,
93,Alamosite,-Pb-Si-O-,-Pb-Si-O-,1909,4.5,4.5,0,6.5,9,D,O,20,65,7,1,1
94,Alarsite,-Al-As-O-,-Al-As-O-,,5.0,5.5,0,3.32,8,A,A,05,0,0,0,0
96,Albite,-Al-Na-Si-O-,-Al-Na-Si-O-,1815,6.0,6.5,0,2.63,9,F,A,35,76,1,3,1
97,Albrechtschraufite,-Ca-Mg-O-C-F-H-U-,-Ca-Mg-O-C-F-H-U-,1983,2.0,3.0,0,2.6,5,E,D,15,16b,7,11,1
104,Aldermanite,-Al-Mg-Na-O-P-F-H-,-Al-Mg-Na-O-P-H-,,2.0,2.0,0,,8,D,M,35,42,13,1,1
106,Ferro-taramite,-Al-Ca-Fe-Na-Si-O-H-,-Al-Ca-Fe-Na-Si-O-H-,,0.0,0.0,0,,9,D,E,20,0,0,0,0
107,Aluminium,-Al-,-Al-,1978,2.0,3.5,0,2.707,1,A,A,05,1,1,1,5
108,Aleksite,-Bi-Pb-Te-S-,-Bi-Pb-Te-S-,1978,2.5,2.5,0,,2,G,C,40a,2,6,3,2
112,Alforsite,-Ba-Cl-O-P-,-Ba-Cl-O-P-,1980,5.0,5.0,0,,8,B,N,05,41,8,5,2
114,Algodonite,-As-Cu-,-As-Cu-,1857,4.0,4.0,0,8.38,2,A,A,10a,2,1,1,1
115,Aliettite,-Al-Ca-Mg-Si-O-H-,-Ca-Mg-Si-O-H-,1968,1.0,2.0,0,,9,E,C,60,71,4,2,8
122,Allactite,-As-Mn-O-H-,-As-Mn-O-H-,1884,4.5,4.5,0,3.83,8,B,E,30,41,2,1,1
125,Allanite-(Ce),-Al-Ca-Ce-Fe-Si-O-H-,-Al-Ca-Ce-Fe-Si-O-H-,,5.5,6.0,0,4.0,9,B,G,05b,58,2,1a,1
126,Allanite-(La),-Al-Ca-Fe-La-Si-O-H-,-Al-Ca-Fe-La-Si-O-H-,,6.0,6.0,0,,9,B,G,05b,58,2,1a,2
127,Allanite-(Y),-Al-Ca-Fe-Si-O-H-Y-,-Al-Ca-Fe-Si-O-H-Y-,1949,5.5,6.5,0,,9,B,G,05b,58,2,1a,3
128,Allargentum,-Ag-Sb-,-Ag-Sb-,1950,3.5,3.5,0,10.0,2,A,A,30,2,2,1,2
129,Alleghanyite,-Mn-Si-O-H-,-Mn-Si-O-H-,1932,5.5,5.5,0,4.0,9,A,F,45,52,3,2b,1
134,Alloclasite,-As-Co-Fe-S-,-As-Co-Fe-S-,1866,5.0,5.0,0,5.95,2,E,B,10b,2,12,6,2
139,Allophane,-Al-Si-O-H-,-Al-Si-O-H-,1816,3.0,3.0,0,1.8-2.78(meas.),9,E,D,20,71,1,5,1
141,Alluaivite,-Ca-Cl-Mn-Na-Nb-Si-Ti-O-H-,-Ca-Cl-Na-Si-Ti-O-H-,1990,5.0,6.0,0,2.76,9,C,O,10,64,1b,1,1
142,Alluaudite,-Ca-Fe-Mg-Mn-Na-O-P-,-Fe-Mn-Na-O-P-,1848,5.5,6.0,0,1.9,8,A,C,10,38,2,3,6
146,Alstonite,-Ba-Ca-O-C-,-Ba-Ca-O-C-,1841,4.0,4.5,0,,5,A,B,35,14,2,5,1
147,Altaite,-Pb-Te-,-Pb-Te-,1845,2.0,3.0,0,8.27,2,C,D,10,2,8,1,3
148,Althausite,-Mg-O-P-F-H-,-Mg-O-P-F-H-,1971,3.5,4.0,0,,8,B,B,25,41,6,5,1
149,Althupite,-Al-Th-O-P-H-U-,-Al-Th-O-P-H-U-,1986,3.5,4.0,0,,8,E,C,25,42,4,13,1
150,Altisite,-Al-Cl-Na-Si-Ti-O-K-,-Al-Cl-Na-Si-Ti-O-K-,1994,6.0,6.0,0,2.64,9,D,P,40,74,3,3,1
154,Aluminite,-Al-O-S-H-,-Al-O-S-H-,1807,1.0,2.0,3,1.6,7,D,C,05,31,7,4,1
157,Alumohydrocalcite,-Al-Ca-O-C-H-,-Al-Ca-O-C-H-,1926,2.5,2.5,0,,5,D,B,05,16b,2,3,1
158,Pharmacoalumite,-Al-As-O-K-H-,-Al-As-O-K-H-,1980,2.5,2.5,0,,8,D,K,12,42,8,1b,1
159,Alumotantite,-Al-Ta-O-,-Al-Ta-O-,1981,7.5,7.5,0,,4,D,B,55,8,1,7,1
161,Alunite,-Al-O-K-S-H-,-Al-O-K-S-H-,1824,3.5,4.0,3,,7,B,C,10,30,2,4,1
162,Alunogen,-Al-O-S-H-,-Al-O-S-H-,,1.5,2.0,0,1.79(calc.),7,C,B,45,29,8,6,1
165,Alvanite,-Al-Zn-O-H-V-,-Al-Zn-O-H-V-,1959,3.0,3.5,0,,8,F,E,05,42,13,13,1
180,Amakinite,-Fe-O-H-,-Fe-O-H-,1962,3.5,4.0,0,,4,F,E,05,6,2,1,2
182,Amarantite,-Fe-O-S-H-,-Fe-O-S-H-,1888,2.5,2.5,0,,7,D,B,30,31,9,3,1
183,Amarillite,-Fe-Na-O-S-H-,-Fe-Na-O-S-H-,1933,2.5,3.0,0,,7,C,C,75,29,5,3,2
189,Amblygonite,-Al-Li-O-P-F-,-Al-Li-O-P-F-,1817,5.5,6.0,0,3.11,8,B,B,05,41,5,8,1
195,Ameghinite,-Na-B-O-H-,-Na-B-O-H-,1966,2.0,3.0,0,,6,C,A,10,25,3,1,1
197,Amesite,-Al-Mg-Si-O-H-,-Al-Mg-Si-O-H-,,2.5,3.0,0,,9,E,D,15,71,1,2c,1
199,Amicite,-Al-Na-Si-O-K-H-,-Al-Na-Si-O-K-H-,1979,4.5,4.5,0,,9,G,C,05,77,1,3,2
200,Aminoffite,-Al-Be-Ca-Si-O-H-,-Be-Ca-Si-O-H-,1937,5.5,6.0,0,,9,B,H,05,57,1,1,1
203,Ammonioalunite,-Al-N-O-S-H-,-Al-N-O-S-H-,1988,2.0,3.0,0,,7,B,C,10,30,2,4,6
204,Ammonioborite,-N-B-O-H-,-N-B-O-H-,1931,0.0,0.0,0,,6,E,A,15,26,5,3,1
205,Ammoniojarosite,-Fe-N-O-S-H-,-Fe-N-O-S-H-,1927,3.5,4.5,0,,7,B,C,10,30,2,5,4
206,Ammonioleucite,-Al-Si-N-O-H-,-Al-Si-N-O-H-,1986,5.5,6.0,0,,9,G,B,05,76,2,2,2
208,Amstallite,-Al-Ca-Cl-Si-O-H-,-Al-Ca-O-H-,1987,3.0,5.0,0,,9,D,P,25,72,1,4,1
210,Analcime,-Al-Na-Si-O-H-,-Al-Na-Si-O-H-,,5.0,5.5,0,2.27,9,G,B,05,77,1,1,1
211,Anapaite,-Ca-Fe-O-P-H-,-Ca-Fe-O-P-H-,1902,3.5,3.5,0,2.816,8,C,H,10,40,2,1,1
213,Anatase,-Ti-O-,-Ti-O-,1801,5.5,6.0,3,3.89(calc.) 3.90(meas.),4,D,D,05,4,4,4,1
216,Ancylite-(Ce),-Ce-Sr-O-C-H-,-Ce-Sr-O-C-H-,1897,4.0,4.5,0,,5,D,C,05,16b,1,1,1
217,Andalusite,-Al-Si-O-,-Al-Si-O-,,6.5,7.5,0,3.1,9,A,F,10,52,2,2b,1
219,Andersonite,-Ca-Na-O-C-H-U-,-Ca-Na-O-C-H-U-,1948,2.5,2.5,0,2.8,5,E,D,30,15,2,5,1
223,Andradite,-Ca-Fe-Si-O-,-Ca-Fe-Si-O-,1800,6.5,7.0,0,3.75,9,A,D,25,51,4,3b,1
225,Andrémeyerite,-Ba-Fe-Si-O-,-Ba-Fe-Si-O-,1972,5.5,5.5,0,4.15,9,B,B,20,56,2,6c,6
227,Anduoite,-As-Os-Ru-,-As-Ru-,1979,6.5,7.0,0,,2,E,B,15a,2,12,2,8
231,Angelellite,-As-Fe-O-,-As-Fe-O-,1959,5.5,5.5,0,4.9,8,B,C,05,41,6,10,1
233,Anglesite,-Pb-O-S-,-Pb-O-S-,1832,2.5,3.0,0,6.36(calc.) 6.38(meas.),7,A,D,35,28,3,1,3
234,Anhydrite,-Ca-O-S-,-Ca-O-S-,1804,3.0,3.5,0,2.98,7,A,D,30,28,3,2,1
235,Anhydrokainite,-Cl-Mg-O-K-S-,-Cl-Mg-O-K-S-,,0.0,0.0,0,,7,B,C,80,0,0,0,0
236,Anilite,-Cu-S-,-Cu-S-,1969,3.0,3.0,0,,2,B,A,10,2,4,7,5
239,Ankerite,-Ca-Fe-Mg-O-C-,-Ca-Fe-O-C-,1825,3.5,4.0,0,3.00-3.10(calc.) 2.87(meas.),5,A,B,10,14,2,1,2
240,Annabergite,-As-Ni-O-H-,-As-Ni-O-H-,1852,1.5,2.5,0,3.22(calc.),8,C,E,40,40,3,6,4
241,Annite,-Al-Fe-Si-O-K-H-,-Al-Fe-Si-O-K-H-,1868,2.5,3.0,0,3.17,9,E,C,20,71,2,2b,3
246,Anorthite,-Al-Ca-Si-O-,-Al-Ca-Si-O-,1823,6.0,6.5,0,2.76,9,F,A,35,0,0,0,0
251,Antarcticite,-Ca-Cl-O-H-,-Ca-Cl-O-H-,1965,2.0,3.0,0,1.71,3,B,B,30,9,2,6,1
252,Anthoinite,-Al-O-H-W-,-Al-O-H-W-,,1.0,1.0,0,,7,G,B,35,48,3,3,1
253,Anthonyite,-Cl-Cu-O-H-,-Cu-O-H-,1963,2.0,2.0,0,,3,D,A,40,6,2,6,1
254,Anthophyllite,-Mg-Si-O-H-,-Mg-Si-O-H-,1801,5.5,6.0,0,approx. 2.9 - 3.5(meas.); 3.09(calc.),9,D,D,05,66,1,2,1
10319,Woodallite,-Cl-Cr-Mg-O-H-,-Cl-Cr-Mg-O-H-,,1.5,2.0,0,2.062,4,F,L,05,0,0,0,0
260,Antigorite,-Mg-Si-O-H-,-Mg-Si-O-H-,1840,3.5,4.0,0,,9,E,D,15,71,1,2a,1
262,Antimony,-Sb-,-Sb-,,3.0,3.5,0,6.70(calc.),1,C,A,05,1,3,1,2
266,Antimonselite,-Sb-Se-,-Sb-Se-,1993,3.5,3.5,0,,2,D,B,05,2,11,2,2
268,Antlerite,-Cu-O-S-H-,-Cu-O-S-H-,1889,3.5,3.5,0,3.93(calc.),7,B,B,15,30,1,12,1
271,Anyuiite,-Au-Pb-,-Au-Pb-,1989,3.5,3.5,0,,1,A,A,15,1,1,4,1
272,Apachite,-Cu-Si-O-H-,-Cu-Si-O-H-,1980,2.0,2.0,0,,9,H,E,10,78,4,1,1
280,Aphthitalite,-Na-O-K-S-,-Na-O-K-S-,1813,3.0,3.0,0,2.7,7,A,C,35,28,2,2,1
281,Apjohnite,-Al-Mn-O-S-H-,-Al-Mn-O-S-H-,1847,1.5,2.0,0,,7,C,B,85,29,7,3,3
282,Aplowite,-Co-Mn-Ni-O-S-H-,-Co-O-S-H-,1965,3.0,3.0,0,2.36(calc.) 2.33(meas.),7,C,B,15,29,6,6,4
285,Apuanite,-Fe-Sb-O-S-,-Fe-Sb-O-S-,1979,4.0,5.0,0,,4,J,A,25,45,1,9,1
290,Argentojarosite,-Ag-Fe-O-S-H-,-Ag-Fe-O-S-H-,1923,3.5,4.5,0,3.66(calc.) 3.62(meas.),7,B,C,10,30,2,5,5
291,Argentopentlandite,-Ag-Fe-Ni-S-,-Ag-Fe-S-,1977,3.5,3.5,0,,2,B,B,15,2,7,1,2
292,Arsenogoyazite,-Al-As-Sr-O-H-,-Al-As-Sr-O-H-,1984,4.0,4.0,0,3.35,8,B,L,10,42,7,4,3
294,Arsenolite,-As-O-,-As-O-,1854,1.5,1.5,0,3.865(calc.) 3.87(meas.),4,C,B,50,4,3,9,1
295,Arsenoflorencite-(La),-Al-As-La-O-H-,-Al-As-La-O-H-,,3.5,3.5,2,,8,B,L,13,41,5,11,3
299,Argentopyrite,-Ag-Fe-S-,-Ag-Fe-S-,1868,3.5,4.0,0,4.27(calc.) 4.0-4.3(meas.),2,C,B,65,2,9,13,2
301,Arsenohauchecornite,-As-Bi-Ni-S-,-As-Bi-Ni-S-,1980,5.5,5.5,0,6.35,2,B,B,10,3,2,5,4
303,Arsenopalladinite,-As-Pd-Sb-,-As-Pd-,1955,4.0,4.0,0,10.4,2,A,C,10c,2,16,5,1
304,Arsenogorceixite,-Al-As-Ba-O-H-,-Al-As-Ba-O-H-,1991,4.0,4.0,0,3.71(calc.) 3.65(meas.),8,B,L,10,43,4,1,9
305,Arsenopyrite,-As-Fe-S-,-As-Fe-S-,1847,5.5,6.0,0,6.20(calc.) 6.0-6.2(meas.),2,E,B,20,2,12,4,1
307,Aragonite,-Ca-O-C-,-Ca-O-C-,1797,3.5,4.0,3,2.94(calc.) 2.95(meas.),5,A,B,15,0,0,0,0
310,Aramayoite,-Ag-Bi-Sb-S-,-Ag-Bi-Sb-S-,1926,2.5,2.5,0,,2,H,A,25,3,7,4,1
311,Aravaipaite,-Al-Pb-O-F-H-,-Al-Pb-O-F-H-,1988,2.0,2.0,0,6.37,3,B,B,35,11,6,19,1
312,Arsenolamprite,-As-,-As-,1823,2.0,2.0,0,5.55(calc.) 5.3-5.5(meas.),1,C,A,10,1,3,2,1
314,Arcanite,-O-K-S-,-O-K-S-,1845,2.0,2.0,0,,7,A,D,05,28,2,1,2
315,Archerite,-N-O-P-K-H-,-O-P-K-H-,1977,1.0,2.0,0,,8,A,D,15,37,1,4,2
316,Arctite,-Ca-Na-O-P-F-,-Ca-Na-O-P-F-,1981,5.0,5.0,0,3.13,8,B,N,10,41,5,18,1
318,Arcubisite,-Ag-Bi-Cu-S-,-Ag-Bi-Cu-S-,1976,0.0,0.0,0,,2,L,A,40,3,2,6,1
319,Argentotennantite-(Zn),-Ag-As-Cu-Zn-S-,-Ag-As-Cu-Zn-S-,1986,3.5,3.5,0,,2,G,B,05,3,3,6,7
320,Ardaite,-Cl-Pb-Sb-S-,-Cl-Pb-Sb-S-,1982,2.5,3.0,0,,2,L,B,30,2,15,1,1
321,Ardealite,-Ca-O-P-S-H-,-Ca-O-P-S-H-,1931,1.0,1.5,0,,8,C,J,50,43,1,1,1
322,Ardennite-(As),-Al-As-Mg-Mn-Si-O-H-,-Al-As-Mg-Mn-Si-O-H-,1872,6.0,7.0,0,,9,B,J,40,58,3,1,1
325,Arfvedsonite,-Fe-Na-Si-O-H-,-Fe-Na-Si-O-H-,1823,5.0,6.0,0,3..33(calc.); approx. 3.3-3.5(meas.),9,D,E,25,0,0,0,0
330,Argutite,-Ge-O-,-Ge-O-,1983,6.0,7.0,0,,4,D,B,05,4,4,1,7
331,Argyrodite,-Ag-Ge-S-,-Ag-Ge-S-,1886,2.5,3.0,3,,2,B,A,70,2,5,6,1
333,Arhbarite,-As-Cu-Mg-O-H-,-As-Cu-Mg-O-H-,1982,0.0,0.0,0,,8,B,E,25,42,6,5,2
334,Aristarainite,-Mg-Na-B-O-H-,-Mg-Na-B-O-H-,1973,3.5,3.5,0,,6,F,B,05,26,6,5,1
341,Armalcolite,-Fe-Mg-Ti-O-,-Mg-Ti-O-,1970,5.0,5.0,0,,4,C,B,15,7,7,1,2
342,Armangite,-As-Mn-O-C-H-,-As-Mn-O-C-H-,1920,4.0,4.0,0,,4,J,B,20,46,2,7,1
343,Armenite,-Al-Ba-Ca-Si-O-H-,-Al-Ba-Ca-Si-O-H-,1939,7.5,7.5,0,,9,C,M,05,63,2,1b,1
344,Armstrongite,-Ca-Si-Zr-O-H-,-Ca-Si-Zr-O-H-,1973,4.5,4.5,0,,9,E,A,35,72,5,4,1
351,Arrojadite-(KFe),-Al-Ca-Fe-Na-O-P-K-H-,-Al-Ca-Fe-Na-O-P-K-H-,1925,5.0,5.0,0,,8,B,F,05,41,7,2,1
356,Arsendescloizite,-As-Pb-Zn-O-H-,-As-Pb-Zn-O-H-,1982,4.0,4.0,0,6.57(calc.),8,B,H,35,41,5,1,9
357,Arsenic,-As-,-As-,Anci,3.5,3.5,0,5.78(calc.) 5.6-5.8(meas.),1,C,A,05,1,3,1,1
359,Arseniopleite,-As-Ca-Mn-Na-O-,-As-Ca-Mn-Na-O-,1888,3.5,3.5,0,4.22,8,A,C,10,38,2,2,2
360,Arseniosiderite,-As-Ca-Fe-O-H-,-As-Ca-Fe-O-H-,1842,4.5,4.5,0,3.60(calc.) 3.60(meas.),8,D,H,30,42,8,4,3
364,Arsenoclasite,-As-Mn-O-H-,-As-Mn-O-H-,1931,5.0,6.0,0,4.16,8,B,D,10,41,4,1,1
365,Arsenocrandallite,-Al-As-Ca-O-H-,-Al-As-Ca-O-H-,1981,5.5,5.5,0,3.30(calc.) 3.25(meas.),8,B,L,10,42,7,4,1
366,Arsenoflorencite-(Ce),-Al-As-Ce-O-H-,-Al-As-Ce-O-H-,1985,3.5,3.5,0,4.096,8,B,L,13,41,5,11,1
372,Arsentsumebite,-As-Cu-Pb-O-S-H-,-As-Cu-Pb-O-S-H-,1935,4.0,5.0,0,6.39(calc.) 6.46(meas.),8,B,G,05,43,4,2,2
373,Arsenuranospathite,-Al-As-O-F-H-U-,-Al-As-O-F-H-U-,1959,2.0,2.0,0,,8,E,B,25,40,2a,23,1
374,Arsenuranylite,-As-Ca-O-H-U-,-As-Ca-O-H-U-,1958,2.0,3.0,0,,8,E,C,10,42,4,9,1
376,Arthurite,-As-Cu-Fe-O-H-,-As-Cu-Fe-O-H-,1954,3.0,4.0,0,3.38(calc.) 3.2(meas.),8,D,C,15,42,11,20,2
377,Artinite,-Mg-O-C-H-,-Mg-O-C-H-,1902,2.5,2.5,0,2.03,5,D,A,10,16b,3,1,1
378,Artroeite,-Al-Pb-O-F-H-,-Al-Pb-O-F-H-,1993,2.5,2.5,0,5.36,3,C,C,15,11,6,18,1
379,Arupite,-Ni-O-P-H-,-Ni-O-P-H-,1990,1.5,2.0,0,,8,C,E,40,40,3,6,8
381,Arzrunite,-Cl-Cu-Pb-O-S-H-,-Cl-Cu-Pb-O-S-H-,,0.0,0.0,0,,7,D,F,60,12,1,8,1
382,Asbecasite,-As-Be-Ca-Si-Sn-Ti-O-,-As-Be-Ca-Si-Ti-O-,1963,6.5,7.0,0,3.70,4,J,B,30,45,1,3,1
384,Asbolane,-Co-Mn-Ni-O-H-,-Mn-Ni-O-H-,1847,0.0,0.0,0,(not reported),4,F,L,30,6,4,9,1
386,Aschamalmite,-Bi-Pb-S-,-Bi-Pb-S-,1983,3.5,3.5,0,,2,J,B,40b,3,1,11,1
388,Ashburtonite,-Cl-Cu-Pb-Si-O-C-H-,-Cl-Cu-Pb-Si-O-C-H-,1991,0.0,0.0,0,4.7,9,C,F,05,78,4,2,1
389,Ashcroftine-(Y),-Ca-Na-Si-O-C-K-H-Y-,-Na-Si-O-C-K-H-Y-,1924,5.0,5.0,0,2.61,9,D,N,15,70,3,1,1
391,Asisite,-Cl-Pb-Si-O-,-Cl-Pb-Si-O-,1988,3.5,3.5,0,,3,D,B,40,10,2,7,1
397,Asselbornite,-As-Bi-Pb-O-H-U-,-As-Bi-Pb-O-H-U-,1980,3.0,3.0,0,,8,E,D,10,42,4,11,1
404,Astrocyanite-(Ce),-Ce-Cu-La-Nd-O-C-H-U-,-Ce-Cu-O-C-H-U-,1989,2.0,3.0,0,3.80,5,E,F,05,16b,1,6,1
405,Astrophyllite,-Fe-Na-Si-Ti-O-K-F-H-,-Fe-Na-Si-Ti-O-K-F-H-,1844,3.0,3.0,0,3.3,9,D,C,05,69,1,1,1
406,Atacamite,-Cl-Cu-O-H-,-Cl-Cu-O-H-,1801,3.0,3.5,0,3.76(calc.) 3.77(meas.),3,D,A,10a,10,1,1,1
407,Atelestite,-As-Bi-O-H-,-As-Bi-O-H-,1832,4.5,5.0,0,6.05(calc) 6.82(meas.),8,B,O,15,41,11,5,1
408,Athabascaite,-Cu-Se-,-Cu-Se-,1949,2.5,2.5,0,,2,B,A,25,2,16,17,1
409,Atheneite,-As-Hg-Pd-,-As-Hg-Pd-,1974,5.0,5.0,0,10.2,2,A,C,05a,2,2,4,1
412,Atlasovite,-Bi-Cl-Cu-Fe-O-K-S-,-Bi-Cl-Cu-Fe-O-K-S-,,2.0,2.5,0,4.20,7,B,C,20,30,1,17,2
413,Atokite,-Pd-Sn-,-Pd-Sn-,1975,4.5,4.5,0,,1,A,G,10,1,2,5,3
415,Attakolite,-Al-Ca-Mn-Si-O-P-H-,-Al-Ca-Mn-Si-O-P-H-,1868,5.0,5.0,0,3.229,8,B,H,60,43,4,13,1
416,Aubertite,-Al-Cl-Cu-O-S-H-,-Al-Cl-Cu-O-S-H-,1978,2.0,3.0,0,1.83(calc.) 1.815(meas.),7,D,B,05,31,9,8,1
419,Augite,-Ca-Fe-Mg-Si-O-,-Ca-Fe-Mg-Si-O-,1792,5.5,6.0,0,3.3,9,D,A,15,65,1,3a,3
422,Aurichalcite,-Cu-Zn-O-C-H-,-Zn-O-C-H-,1839,1.0,2.0,3,3.64 - 3.9,5,B,A,15,16a,4,2,1
423,Auricupride,-Au-Cu-,-Au-Cu-,1950,3.5,3.5,0,11.5,1,A,A,10a,1,1,2,1
428,Aurorite,-Mn-O-H-,-Mn-O-H-,1967,2.0,3.0,0,3.88(calc.) 3.8-4.1(meas.),4,F,L,20,7,8,2,2
430,Aurostibite,-Au-Sb-,-Au-Sb-,1952,3.0,3.0,0,9.98,2,E,B,05a,2,12,1,11
