id,name,elements,sigelements,yeardiscovery,hmin,hmax,hardtype,specificgravity,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,dana8ed1,dana8ed2,dana8ed3,dana8ed4
29140,Malyshevite,-Bi-Cu-Pd-S-,-Bi-Cu-Pd-S-,,3.0,3.0,0,,2,G,A,25,3,4,4,3
29142,Parakuzmenkoite-Fe,-Ba-Fe-Nb-Si-Ti-O-K-H-,-Fe-Si-Ti-O-K-H-,,5.0,5.0,0,,9,C,E,30g,0,0,0,0
29144,Perrierite-(La),-Al-Ca-Ce-Fe-La-Mn-Si-Ti-O-,-Fe-La-Si-Ti-O-,,6.0,6.0,0,,9,B,E,70,0,0,0,0
29150,Senandorite,-Ag-Pb-Sb-S-,-Ag-Pb-Sb-S-,,0.0,0.0,0,,2,J,B,,,,,
29152,Titanomaghemite,-Fe-Ti-O-,-Fe-Ti-O-,,0.0,0.0,0,,4,B,B,15,0,0,0,0
29154,Walkerite,-Ca-Cl-Li-Mg-B-O-H-,-Ca-Cl-Mg-B-O-H-,,3.0,3.0,3,,6,G,B,20,0,0,0,0
40354,Fluorcalciomicrolite,-Ca-Na-Nb-Ta-O-F-,-Ca-Ta-O-F-,,4.0,5.0,0,,4,D,H,15,,,,
29254,Gengenbachite,-Fe-O-P-K-H-,-Fe-O-P-K-H-,,2.0,2.0,2,,8,C,A,65,0,0,0,0
29255,Arsenovanmeersscheite,-As-O-H-U-,-As-O-H-U-,,2.0,2.0,0,,8,E,C,20,42,7,14,3
29258,Miessiite,-Pd-Se-Te-,-Pd-Se-Te-,,2.0,2.5,0,,2,A,C,15a,2,16,2,2
29259,Ottensite,-Na-Sb-O-K-S-H-,-Na-Sb-O-S-H-,,3.5,3.5,0,,2,M,A,05,2,13,3,2
29260,Marrucciite,-Hg-Pb-Sb-S-,-Hg-Pb-Sb-S-,,0.0,0.0,1,,2,J,B,60,0,0,0,0
29261,Abramovite,-Bi-In-Pb-Sn-S-,-Bi-In-Pb-Sn-S-,,0.0,0.0,0,,2,H,F,25a,3,1,3,3
29262,Cloncurryite,-Al-Cu-O-P-F-H-V-,-Al-Cu-O-P-F-H-V-,,2.0,2.0,3,,8,D,C,60,0,0,0,0
29291,Paralammerite,-As-Cu-O-,-As-Cu-O-,,0.0,0.0,0,,8,A,B,30,38,3,8,2
29414,Arrojadite-(BaNa),-Al-Ba-Ca-Fe-Na-O-P-H-,-Al-Ba-Ca-Fe-Na-O-P-H-,,4.0,5.0,0,,8,B,F,05,0,0,0,0
29545,Uedaite-(Ce),-Al-Ce-Fe-Mn-Si-O-H-,-Al-Ce-Fe-Mn-Si-O-H-,,5.0,6.0,3,,9,B,G,05,58,2,9,4
29546,Alloriite,-Al-Ca-Cl-Na-Si-O-K-S-,-Al-Ca-Cl-Na-Si-O-S-,,5.0,5.0,0,,9,F,B,05,0,0,0,0
29548,Nechelyustovite,-Ba-Mn-Na-Nb-Si-Sr-Ti-O-K-F-H-,-Ba-Na-Si-Ti-O-H-,,3.0,3.0,0,,9,B,E,55,56,2,10,6
29549,Pittongite,-Fe-Na-O-H-W-,-Na-O-H-W-,,2.0,3.0,0,,4,D,H,45,0,0,0,0
29671,Plumbostannite,-Fe-Pb-Sb-Sn-S-,-Fe-Pb-Sb-Sn-S-,,2.0,2.0,0,,2,H,F,25b v,0,0,0,0
30762,Olmiite,-Ca-Mn-Si-O-H-,-Ca-Mn-Si-O-H-,2006,5.0,5.5,0,,9,A,F,90,0,0,0,0
30763,Bortnikovite,-Cu-Pd-Zn-,-Cu-Pd-Zn-,2006,0.0,0.0,0,,1,A,G,65,0,0,0,0
30764,Guimarãesite,-Be-Ca-Zn-O-P-H-,-Be-Ca-Zn-O-P-H-,,4.5,4.5,0,,8,D,A,10,0,0,0,0
30765,Footemineite,-Be-Ca-Mn-O-P-H-,-Be-Ca-Mn-O-P-H-,,4.5,5.0,0,,8,D,A,10,0,0,0,0
30767,Pradetite,-As-Co-Cu-O-H-,-As-Co-Cu-O-H-,,0.0,0.0,1,,8,C,E,30,39,2,6,5
30778,Attikaite,-Al-As-Ca-Cu-O-H-,-Al-As-Ca-Cu-O-H-,,2.5,3.0,3,,8,D,J,45,42,9,10,
30802,Fluoro-taramite,-Al-Ca-Mg-Na-Si-O-F-,-Al-Ca-Mg-Na-Si-O-F-,,0.0,0.0,0,,9,D,E,20,0,0,0,0
30808,Metathénardite,-Na-O-S-,-Na-O-S-,1905,3.0,3.0,0,,7,A,D,30,0,0,0,0
30904,Calvertite,-Cu-Ge-S-,-Cu-Ge-S-,,4.0,5.0,0,,2,C,A,15,2,5,2,2
30905,Britvinite,-Mg-Pb-Si-B-O-C-F-H-,-Mg-Pb-Si-B-O-C-F-H-,,3.0,3.0,0,,9,E,G,70,0,0,0,0
30906,Ferroskutterudite,-As-Co-Fe-,-As-Fe-,,0.0,0.0,0,,2,E,C,05,2,12,18,4
30907,Podlesnoite,-Ba-Ca-O-C-F-,-Ba-Ca-O-C-F-,2006,3.5,4.0,0,,5,B,C,15,16a,2,5,1
30908,Demartinite,-Si-K-F-,-Si-K-F-,,0.0,0.0,0,,3,C,H,20,11,5,2,3
30909,Dmitryivanovite,-Al-Ca-O-,-Al-Ca-O-,,0.0,0.0,0,,4,B,C,10,7,2,16,
30915,Ferro-ferri-pedrizite,-Fe-Li-Na-Si-O-H-,-Fe-Li-Na-Si-O-H-,,6.0,6.0,0,,9,D,E,25,0,0,0,0
30934,Potassic-magnesio-arfvedsonite,-Fe-Mg-Na-Si-O-K-H-,-Fe-Mg-Na-Si-O-K-H-,,0.0,0.0,0,,9,D,E,25,0,0,0,0
30935,Potassic-magnesio-hastingsite,-Al-Ca-Fe-Mg-Si-O-K-H-,-Al-Ca-Fe-Mg-Si-O-K-H-,,6.5,6.5,0,,9,D,E,15,0,0,0,0
31224,Shuiskite-(Cr),-Ca-Cr-Si-O-H-,-Ca-Cr-Si-O-H-,1979,6.0,6.0,0,,9,B,G,,,,,
31306,Faizievite,-Ca-Li-Na-Si-Ti-O-K-F-,-Ca-Li-Na-Si-Ti-O-K-F-,,4.0,4.5,0,,9,C,M,10,63,2,10,1
31307,Nalivkinite,-Fe-Li-Mn-Na-Si-Ti-O-F-H-,-Fe-Li-Na-Si-Ti-O-F-H-,,3.0,3.0,0,,9,D,C,05,69,1,1,5
31308,Ferromerrillite,-Ca-Fe-Na-O-P-,-Ca-Fe-Na-O-P-,,5.0,5.0,0,,8,A,C,45,38,3,4,7
46673,Puninite,-Cu-Na-O-S-,-Cu-Na-O-S-,,2.0,3.0,0,,7,B,C,20,0,0,0,0
31324,Fluoro-tremolite,-Ca-Mg-Si-O-F-,-Ca-Mg-Si-O-F-,,0.0,0.0,0,,9,D,E,10,,,,
31404,Barioperovskite,-Ba-Ti-O-,-Ba-Ti-O-,,0.0,0.0,0,,4,C,C,30,4,3,3,4
31405,Gillardite,-Cl-Cu-Ni-O-H-,-Cl-Cu-Ni-O-H-,,3.0,3.0,0,,3,D,A,10c,10,1,2,4
31406,Knasibfite,-Na-Si-B-K-F-,-Na-Si-B-K-F-,,0.0,0.0,1,,3,C,H,25,,,,
31407,Hephaistosite,-Cl-Pb-Tl-,-Cl-Pb-Tl-,,0.0,0.0,0,,3,A,A,60,,,,
31408,Direnzoite,-Al-Ca-Mg-Na-Si-O-K-H-,-Al-Ca-Mg-Na-Si-O-K-H-,ca. ,4.5,4.5,2,,9,G,F,55,,,,
31409,Parwanite,-Al-Ca-Mg-Na-O-P-C-K-H-,-Al-Mg-Na-O-P-C-H-,,1.0,1.0,2,,8,D,O,40,,,,
31498,Osakaite,-Zn-O-S-H-,-Zn-O-S-H-,1999,1.0,1.0,0,,7,D,E,40,31,4,7,2
31499,Braithwaiteite,-As-Cu-Na-Sb-Ti-O-H-,-As-Cu-Na-Sb-Ti-O-H-,,2.0,2.0,0,,8,D,B,75,39,3,16,
31500,Haydeeite,-Cl-Cu-Mg-O-H-,-Cl-Cu-Mg-O-H-,,2.0,2.0,3,,3,D,A,10c,10,1,2,5
31501,Zhangpeishanite,-Ba-Cl-F-,-Ba-Cl-F-,,2.5,2.5,0,,3,D,C,25,9,2,11,3
31502,Zincolivenite,-As-Cu-Zn-O-H-,-As-Cu-Zn-O-H-,,3.5,3.5,0,,8,B,B,30,41,6,5,6
31558,Epidote-(Sr),-Al-Ca-Fe-Si-Sr-O-H-,-Al-Ca-Fe-Si-Sr-O-H-,,0.0,0.0,0,,9,B,G,05a,58,2,2,3
31566,Hydroxylpyromorphite,-Pb-O-P-H-,-Pb-O-P-H-,,3.5,4.0,0,,8,B,N,05,,,,
31567,Hydroxylborite,-Mg-B-O-H-,-Mg-B-O-H-,2006,3.5,3.5,0,,6,A,B,50,,,,
31570,Jadarite,-Li-Na-Si-B-O-H-,-Li-Na-Si-B-O-H-,2006,4.0,5.0,0,,9,A,J,40,,,,
31586,Lisiguangite,-Bi-Cu-Pt-S-,-Bi-Cu-Pt-S-,,2.5,2.5,0,,2,G,A,25,,,,
