index,date,name,category,value
137,2020-03-01,New York,33,4673.0
138,2020-03-01,New York City,1,13397.0
139,2020-03-01,North Carolina,34,35.0
140,2020-03-01,North Dakota,35,0.0
141,2020-03-01,Ohio,36,465.0
142,2020-03-01,Oklahoma,37,116.0
143,2020-03-01,Oregon,38,79.0
144,2020-03-01,Pennsylvania,39,495.0
145,2020-03-01,Rhode Island,40,0.0
146,2020-03-01,South Carolina,41,120.0
147,2020-03-01,South Dakota,42,0.0
148,2020-03-01,Tennessee,43,127.0
149,2020-03-01,Texas,44,369.0
150,2020-03-01,Utah,45,0.0
151,2020-03-01,Vermont,46,16.0
152,2020-03-01,Virginia,47,188.0
153,2020-03-01,Washington,48,2181.0
154,2020-03-01,West Virginia,49,0.0
155,2020-03-01,Wisconsin,50,117.0
156,2020-03-01,Wyoming,51,0.0
157,2020-04-01,Alabama,2,2000.0
158,2020-04-01,Alaska,3,0.0
159,2020-04-01,Arizona,4,2630.0
160,2020-04-01,Arkansas,5,191.0
161,2020-04-01,California,6,16398.0
162,2020-04-01,Colorado,7,6952.0
163,2020-04-01,Connecticut,8,15468.0
164,2020-04-01,Delaware,9,1156.0
165,2020-04-01,District of Columbia,0,2314.0
166,2020-04-01,Florida,10,10044.0
167,2020-04-01,Georgia,11,7231.0
168,2020-04-01,Hawaii,12,16.0
169,2020-04-01,Idaho,13,218.0
170,2020-04-01,Illinois,14,18349.0
171,2020-04-01,Indiana,15,9115.0
172,2020-04-01,Iowa,16,840.0
173,2020-04-01,Kansas,17,588.0
174,2020-04-01,Kentucky,18,1808.0
175,2020-04-01,Louisiana,19,11727.0
176,2020-04-01,Maine,20,111.0
177,2020-04-01,Maryland,21,9279.0
178,2020-04-01,Massachusetts,22,25506.0
179,2020-04-01,Michigan,23,23674.0
180,2020-04-01,Minnesota,24,2928.0
181,2020-04-01,Mississippi,25,1974.0
182,2020-04-01,Missouri,26,2607.0
183,2020-04-01,Montana,27,11.0
184,2020-04-01,Nebraska,28,356.0
185,2020-04-01,Nevada,29,1619.0
186,2020-04-01,New Hampshire,30,318.0
187,2020-04-01,New Jersey,31,64343.0
188,2020-04-01,New Mexico,32,814.0
189,2020-04-01,New York,33,50114.0
190,2020-04-01,New York City,1,91410.0
191,2020-04-01,North Carolina,34,2700.0
192,2020-04-01,North Dakota,35,36.0
193,2020-04-01,Ohio,36,6861.0
194,2020-04-01,Oklahoma,37,1380.0
195,2020-04-01,Oregon,38,560.0
196,2020-04-01,Pennsylvania,39,24775.0
197,2020-04-01,Rhode Island,40,2279.0
198,2020-04-01,South Carolina,41,1784.0
199,2020-04-01,South Dakota,42,32.0
